idAxv,title,report-no,doi,submitter,abstract_md5,authors
0704.0007,Polymer Quantum Mechanics and its Continuum Limit,IGPG-07/03-2,10.1103/PhysRevD.76.044016,Alejandro Corichi,1d16479bc6150246648698d33b5deb83,"Alejandro Corichi, Tatjana Vukasinac and Jose A. Zapata"
0704.0008,Numerical solution of shock and ramp compression for general material  properties,"LA-UR-07-2051, LLNL-JRNL-410358",10.1063/1.2975338,Damian Swift,a3be4f4da50504105e3ae87b7867d6c8,Damian C. Swift
0704.0026,"Placeholder Substructures II: Meta-Fractals, Made of Box-Kites, Fill  Infinite-Dimensional Skies",,,Robert P. C. de Marrais,77ac4e34fd8c3707fa9ec5173c6ef9a3,Robert P. C. de Marrais
0704.0049,An algorithm for the classification of smooth Fano polytopes,,,Mikkel {\O}bro,fcf96e9073d5d679f485c0485a609a80,Mikkel {\O}bro
0704.0059,The Mass and Radius of the Unseen M-Dwarf Companion in the Single-Lined  Eclipsing Binary HAT-TR-205-013,,10.1086/518413,Thomas Beatty,2b70c8c15a95d056a6e6e89f93840a54,"T. G. Beatty, J. M. Fernandez, D. W. Latham, G. A. Bakos, G. Kovacs,
  R. W. Noyes, R. P. Stefanik, G. Torres, M. E. Everett, C. W. Hergenrother"
0704.0075,Strong decays of charmed baryons,,10.1103/PhysRevD.75.094017,Xiang Liu,aece90bd045f762c8807b289ace9cec8,"Chong Chen, Xiao-Lin Chen, Xiang Liu, Wei-Zhen Deng and Shi-Lin Zhu"
0704.0112,Placeholder Substructures III: A Bit-String-Driven ''Recipe Theory'' for  Infinite-Dimensional Zero-Divisor Spaces,,,Robert P. C. de Marrais,77ac4e34fd8c3707fa9ec5173c6ef9a3,Robert P. C. de Marrais
0704.0120,Strong Phase and $D^0-D^0bar$ mixing at BES-III,,10.1103/PhysRevD.75.094019,Haibo Li,6da4f9de010bd1344b6e00c09a4cfa1f,"Xiao-Dong Cheng, Kang-Lin He, Hai-Bo Li, Yi-Fang Wang, Mao-Zhi Yang"
0704.0128,An online repository of Swift/XRT light curves of GRBs,,10.1051/0004-6361:20077530,Kim Page,99a0b8a8f1e58dd21739dcaed0d07dc8,"P.A. Evans (1), A.P. Beardmore (1), K.L. Page (1), L.G. Tyler (1),
  J.P. Osborne (1), M.R. Goad (1), P.T. O'Brien (1), L. Vetere (2), J. Racusin
  (2), D. Morris (2), D.N. Burrows (2), M. Capalbi (3), M. Perri (3), N.
  Gehrels (4) and P. Romano (5,6) ((1) University of Leicester, (2)
  Pennsylvania State University, (3) ASI Science Data Center, (4) NASA/Goddard
  Space Flight Center, (5) INAF-Osservatorio Astronomico di Brera, (6)
  Universita' degli Studi di Milano)"
0704.0166,Supersymmetry breaking metastable vacua in runaway quiver gauge theories,"IFT-UAM/CSIC-07-14, CERN-PH-TH/2007-063",10.1088/1126-6708/2007/05/047,I\~naki Garc\'ia-Etxebarria,db9aa79ed1ad6fc9c3f329f2c9f32d5b,"Inaki Garcia-Etxebarria, Fouad Saad, Angel M. Uranga"
0704.0189,Monoid generalizations of the Richard Thompson groups,,,Jean-Camille Birget,9360ef255bd1b504e23ca9de273537cb,J. C. Birget
0704.0235,The Determination of the Helicity of $W'$ Boson Couplings at the LHC,SLAC-PUB-12392,10.1088/1126-6708/2007/05/037,Thomas G. Rizzo,d7012f5ae22122046501c6841f958eb8,Thomas G. Rizzo
0704.0236,Curvature flows in semi-Riemannian manifolds,,,Claus Gerhardt,9d3324ebe5e16af5a605f2b6dfe1f1e4,Claus Gerhardt
0704.0245,One-loop MHV Rules and Pure Yang-Mills,QMUL-PH-07-09,10.1088/1126-6708/2007/07/002,Konstantinos Zoubos,aec1a80ee53b52bb2d6c21238f578da8,"Andreas Brandhuber, Bill Spence, Gabriele Travaglini, Konstantinos
  Zoubos"
0704.0262,Stringy Instantons at Orbifold Singularities,,10.1088/1126-6708/2007/06/067,Matteo Bertolini,e4746c885270f73a20acc2d6c5820550,"Riccardo Argurio, Matteo Bertolini, Gabriele Ferretti, Alberto Lerda
  and Christoffer Petersson"
0704.0285,Epitaxial graphene,,10.1016/j.ssc.2007.04.023,Xiaosong Wu,66a198a189050c353bbe0b0857a9dd4d,"Walt A. de Heer, Claire Berger, Xiaosong Wu, Phillip N. First, Edward
  H. Conrad, Xuebin Li, Tianbo Li, Michael Sprinkle, Joanna Hass, Marcin L.
  Sadowski, Marek Potemski, Gerard Martinez"
0704.0289,Vortex proliferation in the Berezinskii-Kosterlitz-Thouless regime on a  two-dimensional lattice of Bose-Einstein condensates,,10.1103/PhysRevLett.99.030401,Volker Schweikhard,36ccd057608409045a7a23bd3dd539d3,"V. Schweikhard, S. Tung, and E. A. Cornell"
0704.0292,A practical Seedless Infrared-Safe Cone jet algorithm,,10.1088/1126-6708/2007/05/086,Gregory Soyez,cd326735fc0a7e99852fbce1b6c9d797,Gavin P. Salam and Gregory Soyez
0704.0344,The Blazar Spectral Sequence and GLAST,,10.1063/1.2757292,Fabrizio Tavecchio,c86e6ca437e23cd1391ef47a990647bc,"L. Maraschi, G. Ghisellini, F. Tavecchio"
0704.0388,Sterile neutrinos at the CNGS,,10.1088/1126-6708/2007/12/013,Pasquale Migliozzi Dr.,229fb8f39216cc8e9f2c8ff505672b0b,"A. Donini, M. Maltoni, D. Meloni, P. Migliozzi, F. Terranova"
0704.0400,The S-Matrix of AdS/CFT and Yangian Symmetry,AEI-2007-019,,Niklas Beisert,d8ab2999c0c374b9b6f7c13311aac67e,Niklas Beisert
0704.0407,Density dependent hadronic models and the relation between neutron stars  and neutron skin thickness,,10.1103/PhysRevC.75.055805,Jose Ricardo Marinelli,6256817ab159615faca9c1b84cdf586f,"S.S. Avancini, J.R. Marinelli, D.P. Menezes, M.M.W. de Moraes and C.
  Provid\^encia"
0704.0418,Entanglement entropy at infinite randomness fixed points in higher  dimensions,,10.1103/PhysRevLett.99.147202,Yu-Cheng Lin,96680dddd7bda07eda4e3d9ff3cdd56f,"Yu-Cheng Lin, Ferenc Igloi and Heiko Rieger"
0704.0423,Limits on WIMP-nucleon interactions with CsI(Tl) crystal detectors,DMRC-0701,10.1103/PhysRevLett.99.091301,Sun Kee Kim,b209e372453f033e6c184afd5b9a4981,"H. S. Lee, H. C. Bhang, J. H. Choi, H. Dao, I. S. Hahn, M. J. Hwang,
  S. W. Jung, W. G. Kang, D. W. Kim, H. J. Kim, S. C. Kim, S. K. Kim, Y. D.
  Kim, J. W. Kwak, Y. J. Kwon, J. Lee, J. H. Lee, J. I. Lee, M. J. Lee, S. J.
  Lee, J. Li, X. Li, Y. J. Li, S. S. Myung, S. Ryu, J. H. So, Q. Yue, J. J. Zhu"
0704.0432,A Survey of Huebschmann and Stasheff's Paper: Formal Solution of the  Master Equation via HPT and Deformation Theory,,,Fusun Akman,32476f9b683d0863dea617ca76666e38,Fusun Akman and Lucian M. Ionescu
0704.0437,Measurement of B(D_S^+ --> ell^+ nu) and the Decay Constant f_D_{S^+},"CLNS 07/1990, CLEO 07-02",10.1103/PhysRevD.76.072002,Pamela Morehouse,6ee050225c9c9d2c9ec08eeecb993589,"CLEO Collaboration: T. K. Pedlar, et al"
0704.0440,Dynamics of a quantum phase transition in a ferromagnetic Bose-Einstein  condensate,LAUR-07-1400,10.1103/PhysRevLett.99.130402,Damski Bogdan,1570cc5fc93ff56a6cb434b05410ebf8,Bogdan Damski and Wojciech H. Zurek
0704.0444,Multiple Unfoldings of Orbifold Singularities: Engineering Geometric  Analogies to Unification,,10.1103/PhysRevD.79.046005,Jacob Bourjaily,ee85a44fccf709bb5ef178c297ee2f74,Jacob L. Bourjaily
0704.0445,Geometrically Engineering the Standard Model: Locally Unfolding Three  Families out of E8,,10.1103/PhysRevD.76.046004,Jacob Bourjaily,861d1439da3b1d3f32403e3b946741b3,Jacob L. Bourjaily
0704.0461,Entanglement increase from local interactions with  not-completely-positive maps,,10.1103/PhysRevA.76.022102,Anil Shaji,07ca53872bdf1b44875d1d1b9eae27f5,"Thomas F. Jordan, Anil Shaji and E. C. G. Sudarshan"
0704.0462,Extended solar emission - an analysis of the EGRET data,,10.1063/1.2757422,Elena Orlando,96e1d3111be84fdb5ec7f76b1ebf1c43,"Elena Orlando, Dirk Petry and Andrew Strong"
0704.0490,Long Distance Signaling Using Axion-like Particles,,10.1103/PhysRevD.76.111701,Daniel Stancil,52815f2f870eda19b9967d31d0b3bfc0,Daniel D. Stancil
0704.0543,Swift/XRT observes the fifth outburst of the periodic Supergiant Fast  X-ray Transient IGR J11215-5952,,10.1051/0004-6361:20077383,Patrizia Romano,826b7e34bd12e8f9b73507e8c205480a,"P. Romano (1,2), L. Sidoli (3), V. Mangano (4), S. Mereghetti (3), G.
  Cusumano (4) ((1) INAF-OABrera, (2) Univ.Bicocca, (3) INAF-IASF Mi, (4)
  INAF-IASF Pa)"
0704.0559,Signal for space-time noncommutativity: the Z -> gamma gamma decay in  the renormalizable gauge sector of the theta-expanded NCSM,,,Josip Trampetic Dr.,e670b2fcd7b908413031b8dbc94d382e,Josip Trampetic
0704.0601,D-\bar D mixing and rare D decays in the Littlest Higgs model with  non-unitarity matrix,,10.1016/j.physletb.2007.08.084,Chuan Hung Chen,7eba5d37dff6508969ae9feb1e626bce,"Chuan-Hung Chen, Chao-Qiang Geng, Tzu-Chiang Yuan"
0704.0605,Reconciling the X(3872) with the near-threshold enhancement in the  D^0\bar{D}^{*0} final state,FZJ-IKP(TH)-2007-14,10.1103/PhysRevD.76.034007,Alexei Nefediev,7c337d1479247ebd7b32aeb116b4c1e2,"C.Hanhart (FZ-Juelich), Yu.S.Kalashnikova, A.E.Kudryavtsev,
  A.V.Nefediev (ITEP, Moscow)"
0704.0607,Plasmon Amplification through Stimulated Emission at Terahertz  Frequencies in Graphene,,,Farhan Rana,7c9bb8055a6a17276f848a3a083d0b53,"Farhan Rana, Faisal R. Ahmad"
0704.0619,Search for Heavy Neutral MSSM Higgs Bosons with CMS: Reach and  Higgs-Mass Precision,"DCPT/07/12, IPPP/07/06",10.1140/epjc/s10052-007-0398-0,Sven Heinemeyer,d71aeb83515ba60120f52c9892357139,"S. Gennai, S. Heinemeyer, A. Kalinowski, R. Kinnunen, S. Lethi, A.
  Nikitenko, G. Weiglein"
0704.0626,Probing dark energy with steerable wavelets through correlation of WMAP  and NVSS local morphological measures,,10.1111/j.1365-2966.2007.12776.x,Jason McEwen,d939b6f0c5314099c78d6e5bafa90208,"J. D. McEwen, Y. Wiaux, M. P. Hobson, P. Vandergheynst, A. N. Lasenby"
0704.0629,Measurement of the Decay Constant $f_D{_S^+}$ using $D_S^+ --> ell^+ nu,"CLNS 07/1989, CLEO 07-1",10.1103/PhysRevLett.99.071802,Pamela Morehouse,4993166c18005d29aad6b075736d66d0,"CLEO Collaboration: M. Artuso, et al"
0704.0642,Direct photons and dileptons via color dipoles,USM-TH-210,10.1016/j.physletb.2007.07.055,A. H. Rezaeian,1a3cab0990358509d0830c41e10cedbb,"B. Z. Kopeliovich, A. H. Rezaeian, H. J. Pirner, Ivan Schmidt"
0704.0646,The Mathematical Universe,,10.1007/s10701-007-9186-9,Max Tegmark,f4238ce8c16f67c15bfdd4f77db72d0f,Max Tegmark (MIT)
0704.0666,String inspired explanation for the super-acceleration of our universe,,10.1103/PhysRevD.75.123513,Bin Wang,ddb1c046d375b7fc3bb2749c242fe45d,"Ahmad Sheykhi, Bin Wang and Nematollah Riazi"
0704.0680,"An Inverse $f(R)$ Gravitation for Cosmic Speed up, and Dark Energy  Equivalent",,10.1142/S0217732308026042,Sohrab Rahvar,a89041c315c38777cdd00e465c032895,"Sohrab Rahvar, Yousef Sobouti"
0704.0737,Jumping Through Loops: On Soft Terms from Large Volume Compactifications,"AEI-2007-020, LMU-ASC-21/07",10.1088/1126-6708/2007/09/031,Marcus Berg,58d42c78521290cb28c0915c186468ea,"Marcus Berg, Michael Haack, Enrico Pajer"
0704.0746,Finite bias visibility of the electronic Mach-Zehnder interferometer,,10.1103/PhysRevB.76.161309,Roche Patrice,2ed16ca0fde4d8d6fa1e66103cd71c45,"Preden Roulleau, F. Portier, D. C. Glattli, P. Roche, A. Cavanna, G.
  Gaini, U. Gennser, and D. Mailly"
0704.0748,Experimental Challenges Involved in Searches for Axion-Like Particles  and Nonlinear Quantum Electrodynamic Effects by Sensitive Optical Techniques,,,Joseph Harris,21d1ab1671c93f9808700c150d05a17a,"Christopher C. Davis, Joseph Harris, Robert W. Gammon, Igor I.
  Smolyaninov and Kyuman Cho"
0704.0756,The dynamical Casimir effect in braneworlds,,10.1103/PhysRevLett.99.071601,Ruth Durrer,81c54d179c19502ca96d18b3f87edcb6,Ruth Durrer and Marcus Ruser
0704.0784,D-brane Instantons on the T^6/Z_3 orientifold,,10.1088/1126-6708/2007/07/038,Massimo Bianchi,9161726f9020d3b44c3079b56eb4cca6,"Massimo Bianchi, Francesco Fucito and Jose F. Morales"
0704.0786,Implication of the D^0 Width Difference On CP-Violation in D^0-\bar D^0  Mixing,IPPP/07/10,10.1088/0954-3899/34/10/009,Patricia Ball,50c27c4de728d760ae9d220ce8f14b45,Patricia Ball
0704.0790,Dynamical Casimir effect for gravitons in bouncing braneworlds,,10.1103/PhysRevD.76.104014,Ruth Durrer,d0dd24486d529b4936f2f84e5d7a639a,Marcus Ruser and Ruth Durrer
0704.0799,Spin Evolution of Accreting Neutron Stars: Nonlinear Development of the  R-mode Instability,,10.1103/PhysRevD.76.064019,Ruxandra Bondarescu,2a6e1985f4f6bf878984d45cf8697004,"Ruxandra Bondarescu, Saul A. Teukolsky and Ira Wasserman (Cornell
  University)"
0704.0921,Z^0 \to 2\gamma and the Twisted Coproduct of the Poincar\'{e} Group,,10.1142/S0217751X07038426,Sang Jo,08f39b5860aed89fe6bb45396a480712,"A. P. Balachandran, S. G. Jo"
0704.0924,Lower order terms in the 1-level density for families of holomorphic  cuspidal newforms,,10.4064/aa137-1-3,Steven Miller,3c4f1859072103ace1359c3de3c01ecd,Steven J. Miller
0704.0927,A Symplectic Test of the L-Functions Ratios Conjecture,,10.1093/imrn/rnm146,Steven Miller,e323323313f8ba10e68ab909c8a3c91c,Steven J. Miller
0704.0930,Marginal Solutions for the Superstring,,10.1088/1126-6708/2007/07/050,Theodore G. Erler,c4b92a1de2f365892aa1ec1d78e4e444,Theodore Erler
0704.0931,The Isophotal Structure of Early-Type Galaxies in the SDSS: Dependence  on AGN Activity and Environment,,10.1086/518856,Frank van den Bosch,ff33f40f4860512daac152664b47fcbd,"Anna Pasquali, Frank C. van den Bosch, Hans-Walter Rix (MPIA)"
0704.0932,On the Origin of the Dichotomy of Early-Type Galaxies: The Role of Dry  Mergers and AGN Feedback,,10.1111/j.1365-2966.2007.12311.x,Frank van den Bosch,6692bb5324fda59688f69d2e540911cd,"Xi Kang, Frank C. van den Bosch, Anna Pasquali (MPIA)"
0704.0933,Quantum and Classical Spins on the Spatially Distorted Kagome Lattice:  Applications to Volborthite,,10.1103/PhysRevB.76.094421,Fa Wang,85dd18381ccb4bf4c6218e22b33c5888,"Fa Wang, Ashvin Vishwanath, Yong Baek Kim"
0704.0936,Analytic solutions for marginal deformations in open superstring field  theory,DESY 07-047,10.1088/1126-6708/2007/09/084,Yuji Okawa,821d962d242e5e900ae7962ba3837f0b,Yuji Okawa (DESY)
0704.0955,Charges from Attractors,,10.1088/0264-9381/24/20/009,Matthias Wapler,5ff234726e1721de734706fd500bb8db,Nemani V. Suryanarayana and Matthias C. Wapler
0704.0971,D0-anti-D0 Mixing and CP Violation in D0 vs anti-D0 to K*(+-) K(-+)  Decays,,10.1103/PhysRevD.75.114006,Shun Zhou,efd6f65618ec586c14c8e3fbab6b4e4c,Zhi-zhong Xing and Shun Zhou
0704.1000,Measurement of D0-D0bar mixing in D0->Ks pi+ pi- decays,BELLE-CONF-0702,10.1103/PhysRevLett.99.131803,Liming Zhang,663bd22d88afb1b7aa619962794af47e,"L.M. Zhang, et al, for the Belle Collaboration"
0704.1021,Curvature estimates for Weingarten hypersurfaces in Riemannian manifolds,,10.1515/ACV.2008.004,Claus Gerhardt,9e55c64d11c6bad753a3733ad5d36b54,Claus Gerhardt
0704.1037,Controlled collisions of a single atom and ion guided by movable  trapping potentials,,10.1103/PhysRevA.76.033409,Zbigniew Idziaszek,20107f5c4ca27848fd48cdda181a9036,"Z. Idziaszek, T. Calarco, P. Zoller"
0704.1038,Counting BPS operators in N=4 SYM,,10.1016/j.nuclphysb.2007.07.026,Francis Dolan,2c7b9657c4d627ad23cf2123570d09a2,F.A. Dolan
0704.1039,"Symplectic homology, autonomous Hamiltonians, and Morse-Bott moduli  spaces",,,Alexandru Oancea,ad014dafbb68d3d49ccec9f82415225d,Fr\'ed\'eric Bourgeois and Alexandru Oancea
0704.1079,Instanton Induced Neutrino Majorana Masses in CFT Orientifolds with  MSSM-like spectra,"IFT-UAM/CSIC-07-12, CERN-PH-TH/2007-061",10.1088/1126-6708/2007/06/011,Angel M. Uranga,5f34d8b4ec9c2ffaa4bebb84307c2c75,"L.E. Ibanez, A.N. Schellekens, A. M. Uranga"
0704.1085,Gauge Mediation in String Theory,"CALT-68-2642, UT-07-12",10.1016/j.physletb.2007.06.056,Teruhiko Kawano,f7d885a3c6b826664ff999904a40174e,"Teruhiko Kawano, Hirosi Ooguri, and Yutaka Ookouchi"
0704.1090,Bouncing Universe with Quintom Matter,,10.1088/1126-6708/2007/10/071,Yifu Cai,05a57648a846b85fee9237b4fa3ac71d,"Yi-Fu Cai, Taotao Qiu, Yun-Song Piao, Mingzhe Li, Xinmin Zhang"
0704.1099,The Epps effect revisited,,10.1080/14697680802595668,Bence T\'oth,cb6ffb2e259d3aeecccd715ce90b4110,"Bence Toth, Janos Kertesz"
0704.1106,Analysis of $\Omega_c^*(css)$ and $\Omega_b^*(bss)$ with QCD sum rules,,10.1140/epjc/s10052-008-0521-x,Zhi-Gang Wang,e8d4d4b5e00c71cb477d79bb3646a0da,Zhi-Gang Wang
0704.1137,"Lattice refining loop quantum cosmology, anisotropic models and  stability",IGPG-07/4-2,10.1103/PhysRevD.76.064018,Martin Bojowald,4ea493261b56df7cbf4038df4e364404,"Martin Bojowald, Daniel Cartin and Gaurav Khanna"
0704.1143,Challenges for MSSM Higgs searches at Hadron Colliders,"ANL-HEP-PR-07-19, EFI-07-07, FERMILAB-PUB-07-074-T",10.1103/PhysRevD.76.035004,Arjun Menon,e40b4e8693387d6342d54263b79d55fa,"M. Carena, A. Menon and C.E.M. Wagner"
0704.1165,Electroweak Higgs as a pseudo-Goldstone boson of broken scale invariance,,10.1016/j.physletb.2007.06.084,Archil Kobakhidze,a73093e7c94cf3fe3b7705d0562b2872,"Robert Foot, Archil Kobakhidze and Raymond R. Volkas"
0704.1186,Domain wall entropy of the bimodal two-dimensional Ising spin glass,,10.1103/PhysRevB.76.064427,Julian Poulter,66a9eca8655653f96d5dabd4dd69ea90,A. Aromsawa and J. Poulter
0704.1194,Finite-size scaling of pseudo-critical point distributions in the random  transverse-field Ising chain,,10.1103/PhysRevB.76.064421,Ferenc Igloi,81152986b295ee91e57723271b39dc18,"Ferenc Igl\'oi, Yu-Cheng Lin, Heiko Rieger, C\'ecile Monthus"
0704.1201,Evaluation of the Axial Vector Commutator Sum Rule for Pion-Pion  Scattering,FTUAM 06-07,10.1103/PhysRevD.75.116002,Francisco Yndurain,43daea745874a28d31614bdb04ffa40f,Stephen L. Adler and F. J. Yndurain
0704.1234,Generalization of Einstein-Lovelock theory to higher order dilaton  gravity,IFT-07-1,10.1103/PhysRevD.76.124020,Marek Olechowski,8157a9151501500b2c76cad1132bd9d2,"D. Konikowska, M. Olechowski"
0704.1239,On the Entropy Function and the Attractor Mechanism for Spherically  Symmetric Extremal Black Holes,,10.1103/PhysRevD.76.064010,Li-Ming Cao,02f70465bed0537174f6f09dbaf0ec3d,Rong-Gen Cai and Li-Ming Cao
0704.1263,The Measurement Calculus,,,Elham Kashefi,896bdfc155483fdc8f9cd316cf9d6b76,"Vincent Danos, Elham Kashefi, Prakash Panangaden"
0704.1271,Numerical Evaluation of Six-Photon Amplitudes,,10.1088/1126-6708/2007/07/085,Roberto Pittau,0f7c8a7d2bc2a9a2f735e4ebbb1cc75a,"Giovanni Ossola, Costas G. Papadopoulos (Democritos Nucl. Res. Ctr.),
  Roberto Pittau (Turin U. & INFN, Turin)"
0704.1291,Projective Hilbert space structures at exceptional points,,10.1088/1751-8113/40/30/014,Uwe Guenther,91c0377f98bbaba593375a6e875a6f49,"Uwe Guenther, Ingrid Rotter, Boris F. Samsonov"
0704.1328,Developing the Galactic diffuse emission model for the GLAST Large Area  Telescope,SLAC-PUB-12467,10.1063/1.2757416,Igor Moskalenko,4dfa0f5f717b9a94a635f5f3eced3cf1,"Igor V. Moskalenko (Stanford), Andrew W. Strong (MPE), Seth W. Digel
  (SLAC), Troy A. Porter (UCSC)"
0704.1329,Prompt Emission of High Energy Photons from Gamma Ray Bursts,,10.1111/j.1365-2966.2007.12051.x,Nayantara Gupta,ddd0ed84c6e2c8d654e80f2bb8ba7679,Nayantara Gupta and Bing Zhang
0704.1377,Kibble-Zurek mechanism in a quenched ferromagnetic Bose-Einstein  condensate,,10.1103/PhysRevA.76.043613,Hiroki Saito,973792ef536864b9849f963760ea2aea,"Hiroki Saito, Yuki Kawaguchi, and Masahito Ueda"
0704.1405,Euclidean analysis of the entropy functional formalism,,10.1103/PhysRevD.77.084011,Pedro J. Silva,8ac3c29a8ce2d1f0215a2735d652530d,Oscar J. C. Dias and Pedro J. Silva
0704.1417,Constraints on Regge models from perturbation theory,UAB-FT-630; UB-ECM-PF-07-07,10.1088/1126-6708/2007/10/061,Antonio Pineda,91769e228f37dbb6a4db6148b25ba6fe,Jorge Mondejar and Antonio Pineda
0704.1441,Heisenberg antiferromagnet with anisotropic exchange on the Kagome  lattice: Description of the magnetic properties of volborthite,,10.1103/PhysRevB.76.064430,Walter Apel,c267b6ab1635e9f8f7c9fe4dfbed9203,"T. Yavors'kii, W. Apel, and H.-U. Everts"
0704.1482,Deciphering top flavor violation at the LHC with B factories,,10.1103/PhysRevD.78.054008,Michele Papucci,13bec284d6e71457066207eaafacc8c3,"Patrick J. Fox, Zoltan Ligeti, Michele Papucci, Gilad Perez, Matthew
  D. Schwartz"
0704.1500,A Search for Electron Neutrino Appearance at the Delta m**2 ~ 1 eV**2  Scale,LA-UR-07-2246,10.1103/PhysRevLett.98.231801,William Louis,e927ff084f3af9844a335d0af623b78b,The MiniBooNE Collaboration
0704.1510,A compact star rotating at 1122 Hz and the r-mode instability,,10.1086/588635,Drago Alessandro,c0b81048e5e767cd4abf810fa51b038b,"Alessandro Drago (Univ. Ferrara and INFN sez. Ferrara, Italy) Giuseppe
  Pagliara (Inst. Theoretische Physik, Goethe Universitaet, Frankfurt am Main,
  Germany and INFN Italy) and Irene Parenti (Univ. Ferrara and INFN sez.
  Ferrara, Italy)"
